_id,Tarih,Kurum Kodu,Tam,Öğrenci,Öğretmen,Serbest Kart,Personel,Bilet,Altmış Yaş,Çocuk,Gönüllü
208,2015-07-05T00:00:00,İzban,89.498,32.107,930,11.959,0,2.193,0,0,0
209,2015-07-05T00:00:00,Metro,78.405,30.150,806,11.012,0,2.017,0,0,0
210,2015-07-06T00:00:00,Eshot,387.134,162.992,4.811,128.465,0,1.579,0,0,0
211,2015-07-06T00:00:00,Izdeniz,26.030,6.438,362,3.771,0,1.204,0,0,0
212,2015-07-06T00:00:00,Izdeniz-Araba,1.315,0,0,0,0,0,0,0,0
213,2015-07-06T00:00:00,Izulas,78.263,32.028,815,29.509,0,123,0,0,0
214,2015-07-06T00:00:00,İzban,130.168,49.068,1.926,20.714,0,2.475,0,0,0
215,2015-07-06T00:00:00,Metro,156.754,61.275,2.250,25.786,0,2.659,0,0,0
216,2015-07-07T00:00:00,Eshot,386.706,164.508,4.974,122.393,0,1.463,0,0,0
217,2015-07-07T00:00:00,Izdeniz,26.324,6.464,302,3.548,0,1.297,0,0,0
218,2015-07-07T00:00:00,Izdeniz-Araba,1.239,0,0,0,0,0,0,0,0
219,2015-07-07T00:00:00,Izulas,77.436,32.133,784,27.303,0,178,0,0,0
220,2015-07-07T00:00:00,İzban,126.297,47.521,1.875,19.888,0,2.438,0,0,0
221,2015-07-07T00:00:00,Metro,155.113,61.146,2.307,24.494,0,2.633,0,0,0
222,2015-07-08T00:00:00,Eshot,379.202,161.680,4.659,121.082,0,1.422,0,0,0
223,2015-07-08T00:00:00,Izdeniz,26.350,6.806,346,3.314,0,1.213,0,0,0
224,2015-07-08T00:00:00,Izdeniz-Araba,1.373,0,0,0,0,0,0,0,0
225,2015-07-08T00:00:00,Izulas,79.838,34.468,872,27.754,0,164,0,0,0
226,2015-07-08T00:00:00,İzban,126.702,48.177,1.855,18.957,0,2.156,0,0,0
227,2015-07-08T00:00:00,Metro,151.126,60.533,2.087,22.878,0,2.481,0,0,0
228,2015-07-09T00:00:00,Eshot,367.274,154.593,4.281,113.762,0,1.383,0,0,0
229,2015-07-09T00:00:00,Izdeniz,24.064,6.262,298,3.143,0,1.243,0,0,0
230,2015-07-09T00:00:00,Izdeniz-Araba,1.414,0,0,0,0,0,0,0,0
231,2015-07-09T00:00:00,Izulas,78.577,32.839,756,26.117,0,154,0,0,0
232,2015-07-09T00:00:00,İzban,124.800,47.698,1.657,19.036,0,2.116,0,0,0
233,2015-07-09T00:00:00,Metro,152.624,60.097,2.052,23.989,0,2.510,0,0,0
234,2015-07-10T00:00:00,Eshot,359.521,150.306,4.151,113.334,0,1.560,0,0,0
235,2015-07-10T00:00:00,Izdeniz,24.168,6.306,317,3.153,0,1.511,0,0,0
236,2015-07-10T00:00:00,Izdeniz-Araba,1.411,0,0,0,0,0,0,0,0
237,2015-07-10T00:00:00,Izulas,81.310,33.439,811,28.268,0,197,0,0,0
238,2015-07-10T00:00:00,İzban,125.500,47.457,1.657,18.585,0,2.533,0,0,0
239,2015-07-10T00:00:00,Metro,149.315,58.147,1.875,22.857,0,2.766,0,0,0
240,2015-07-11T00:00:00,Eshot,296.560,113.479,2.426,86.667,0,1.588,0,0,0
241,2015-07-11T00:00:00,Izdeniz,21.559,5.809,269,2.312,0,1.620,0,0,0
242,2015-07-11T00:00:00,Izdeniz-Araba,1.249,0,0,0,0,0,0,0,0
243,2015-07-11T00:00:00,Izulas,69.602,26.604,483,22.138,0,190,0,0,0
244,2015-07-11T00:00:00,İzban,112.670,39.196,1.139,14.624,0,2.297,0,0,0
245,2015-07-11T00:00:00,Metro,128.127,45.633,1.329,16.951,0,3.185,0,0,0
246,2015-07-12T00:00:00,Eshot,217.227,87.835,2.078,71.598,0,1.360,0,0,0
247,2015-07-12T00:00:00,Izdeniz,18.280,5.112,149,1.463,0,2.739,0,0,0
248,2015-07-12T00:00:00,Izdeniz-Araba,1.093,0,0,0,0,0,0,0,0
249,2015-07-12T00:00:00,Izulas,54.019,21.570,482,19.254,0,189,0,0,0
250,2015-07-12T00:00:00,İzban,100.488,36.787,1.263,12.048,0,2.233,0,0,0
251,2015-07-12T00:00:00,Metro,96.949,37.458,1.405,11.698,0,3.649,0,0,0
252,2015-07-13T00:00:00,Eshot,371.783,149.911,4.266,125.516,0,1.572,0,0,0
253,2015-07-13T00:00:00,Izdeniz,26.270,6.451,307,3.471,0,1.505,0,0,0
254,2015-07-13T00:00:00,Izdeniz-Araba,1.297,0,0,0,0,0,0,0,0
255,2015-07-13T00:00:00,Izulas,83.796,33.172,811,30.680,0,147,0,0,0
256,2015-07-13T00:00:00,İzban,127.651,47.002,1.606,19.683,0,2.089,0,0,0
257,2015-07-13T00:00:00,Metro,155.627,60.598,2.074,25.531,0,2.562,0,0,0
258,2015-07-14T00:00:00,Eshot,375.156,152.815,4.147,123.638,0,1.462,0,0,0
259,2015-07-14T00:00:00,Izdeniz,26.418,6.620,355,3.413,0,1.256,0,0,0
260,2015-07-14T00:00:00,Izdeniz-Araba,1.319,0,0,0,0,0,0,0,0
